Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (FBS),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
FBS,Food Balances (2010-),4,Afghanistan,645,Food supply quantity (kg/capita/yr),S2542,Sugar (Raw Equivalent),2019,2019,kg/cap,15.28,E,Estimated value,
FBS,Food Balances (2010-),4,Afghanistan,645,Food supply quantity (kg/capita/yr),S2542,Sugar (Raw Equivalent),2020,2020,kg/cap,15.13,E,Estimated value,
FBS,Food Balances (2010-),4,Afghanistan,645,Food supply quantity (kg/capita/yr),S2542,Sugar (Raw Equivalent),2021,2021,kg/cap,12.79,E,Estimated value,
FBS,Food Balances (2010-),4,Afghanistan,645,Food supply quantity (kg/capita/yr),S2542,Sugar (Raw Equivalent),2022,2022,kg/cap,8.3,E,Estimated value,
FBS,Food Balances (2010-),4,Afghanistan,645,Food supply quantity (kg/capita/yr),S2542,Sugar (Raw Equivalent),2023,2023,kg/cap,10.35,E,Estimated value,
FBS,Food Balances (2010-),8,Albania,645,Food supply quantity (kg/capita/yr),S2542,Sugar (Raw Equivalent),2019,2019,kg/cap,16.54,E,Estimated value,
FBS,Food Balances (2010-),8,Albania,645,Food supply quantity (kg/capita/yr),S2542,Sugar (Raw Equivalent),2020,2020,kg/cap,18.6,E,Estimated value,
FBS,Food Balances (2010-),8,Albania,645,Food supply quantity (kg/capita/yr),S2542,Sugar (Raw Equivalent),2021,2021,kg/cap,19.73,E,Estimated value,
FBS,Food Balances (2010-),8,Albania,645,Food supply quantity (kg/capita/yr),S2542,Sugar (Raw Equivalent),2022,2022,kg/cap,20.79,E,Estimated value,
FBS,Food Balances (2010-),8,Albania,645,Food supply quantity (kg/capita/yr),S2542,Sugar (Raw Equivalent),2023,2023,kg/cap,20.03,E,Estimated value,
FBS,Food Balances (2010-),12,Algeria,645,Food supply quantity (kg/capita/yr),S2542,Sugar (Raw Equivalent),2019,2019,kg/cap,28.08,E,Estimated value,
