Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (FBS),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"FBS","Food Balances (2010-)","004","Afghanistan","645","Food supply quantity (kg/capita/yr)","S2543","Sweeteners, Other","2019","2019","kg/cap","0.55","E","Estimated value",""
"FBS","Food Balances (2010-)","004","Afghanistan","645","Food supply quantity (kg/capita/yr)","S2543","Sweeteners, Other","2020","2020","kg/cap","0.52","E","Estimated value",""
"FBS","Food Balances (2010-)","004","Afghanistan","645","Food supply quantity (kg/capita/yr)","S2543","Sweeteners, Other","2021","2021","kg/cap","0.33","E","Estimated value",""
"FBS","Food Balances (2010-)","004","Afghanistan","645","Food supply quantity (kg/capita/yr)","S2543","Sweeteners, Other","2022","2022","kg/cap","0.16","E","Estimated value",""
"FBS","Food Balances (2010-)","004","Afghanistan","645","Food supply quantity (kg/capita/yr)","S2543","Sweeteners, Other","2023","2023","kg/cap","0.22","E","Estimated value",""
"FBS","Food Balances (2010-)","008","Albania","645","Food supply quantity (kg/capita/yr)","S2543","Sweeteners, Other","2019","2019","kg/cap","24.19","E","Estimated value",""
"FBS","Food Balances (2010-)","008","Albania","645","Food supply quantity (kg/capita/yr)","S2543","Sweeteners, Other","2020","2020","kg/cap","21.18","E","Estimated value",""
"FBS","Food Balances (2010-)","008","Albania","645","Food supply quantity (kg/capita/yr)","S2543","Sweeteners, Other","2021","2021","kg/cap","26.34","E","Estimated value",""
"FBS","Food Balances (2010-)","008","Albania","645","Food supply quantity (kg/capita/yr)","S2543","Sweeteners, Other","2022","2022","kg/cap","30.38","E","Estimated value",""
"FBS","Food Balances (2010-)","008","Albania","645","Food supply quantity (kg/capita/yr)","S2543","Sweeteners, Other","2023","2023","kg/cap","31.71","E","Estimated value",""
"FBS","Food Balances (2010-)","012","Algeria","645","Food supply quantity (kg/capita/yr)","S2543","Sweeteners, Other","2019","2019","kg/cap","2.79","E","Estimated value",""
"FBS","Food Balances (2010-)","012","Algeria","645","Food supply quantity (kg/capita/yr)","S2543","Sweeteners, Other","2020","2020","kg/cap","2.95","E","Estimated value",""
"FBS","Food Balances (2010-)","012","Algeria","645","Food supply quantity (kg/capita/yr)","S2543","Sweeteners, Other","2021","2021","kg/cap","3.47","E","Estimated value",""
"FBS","Food Balances (2010-)","012","Algeria","645","Food supply quantity (kg/capita/yr)","S2543","Sweeteners, Other","2022","2022","kg/cap","3.29","E","Estimated value",""
