region,series,year,central
Australia,Sucralose (g/capita/yr),2020,28.5
Australia,Sucralose (g/capita/yr),2021,29.3318
Australia,Sucralose (g/capita/yr),2022,30.1879
Australia,Sucralose (g/capita/yr),2023,31.0689
Australia,Sucralose (g/capita/yr),2024,31.9757
Australia,Sucralose (g/capita/yr),2025,32.909
Australia,Sucralose (g/capita/yr),2026,33.8694
Australia,Sucralose (g/capita/yr),2027,34.858
Australia,Sucralose (g/capita/yr),2028,35.8753
Australia,Sucralose (g/capita/yr),2029,36.9224
Australia,Sucralose (g/capita/yr),2030,38.0
Australia,Sucralose (g/capita/yr),2031,44.4906
Australia,Sucralose (g/capita/yr),2032,52.0898
Australia,Sucralose (g/capita/yr),2033,60.987
Australia,Sucralose (g/capita/yr),2034,71.4039
Australia,Sucralose (g/capita/yr),2035,83.6
Australia,Sucralose (g/capita/yr),2036,100.414
Australia,Sucralose (g/capita/yr),2037,120.6097
Australia,Sucralose (g/capita/yr),2038,144.8673
Australia,Sucralose (g/capita/yr),2039,174.0036
Australia,Sucralose (g/capita/yr),2040,209.0
Australia,Aspartame (g/capita/yr),2020,32.775
Australia,Aspartame (g/capita/yr),2021,33.7316
Australia,Aspartame (g/capita/yr),2022,34.7161
Australia,Aspartame (g/capita/yr),2023,35.7293
Australia,Aspartame (g/capita/yr),2024,36.7721
Australia,Aspartame (g/capita/yr),2025,37.8453
Australia,Aspartame (g/capita/yr),2026,38.9499
Australia,Aspartame (g/capita/yr),2027,40.0867
Australia,Aspartame (g/capita/yr),2028,41.2566
Australia,Aspartame (g/capita/yr),2029,42.4607
Australia,Aspartame (g/capita/yr),2030,43.7
Australia,Aspartame (g/capita/yr),2031,51.1642
Australia,Aspartame (g/capita/yr),2032,59.9033
Australia,Aspartame (g/capita/yr),2033,70.135
Australia,Aspartame (g/capita/yr),2034,82.1144
Australia,Aspartame (g/capita/yr),2035,96.14
Australia,Aspartame (g/capita/yr),2036,115.4761
Australia,Aspartame (g/capita/yr),2037,138.7012
Australia,Aspartame (g/capita/yr),2038,166.5974
Australia,Aspartame (g/capita/yr),2039,200.1042
