Area,y2030,y2035,y2040,y2045
Afghanistan,12.370000000000001,10.5145,4.948,0.9896000000000001
Albania,19.137999999999998,16.2673,7.6552,1.53104
Algeria,28.064,23.8544,11.2256,2.24512
Angola,9.962,8.467699999999999,3.9848,0.79696
Antigua and Barbuda,20.084,17.0714,8.0336,1.60672
Argentina,36.166,30.741099999999996,14.4664,2.89328
Armenia,25.35,21.5475,10.14,2.028
Australia,33.660000000000004,18.513000000000005,5.049,1.0098
Austria,33.25,28.2625,13.3,2.66
Azerbaijan,22.534,19.1539,9.0136,1.8027199999999999
Bahamas,24.244,20.6074,9.697600000000001,1.9395200000000001
Bahrain,43.654,37.105900000000005,17.4616,3.4923200000000003
Bangladesh,6.101999999999999,5.186699999999999,2.4408,0.48816
Barbados,47.63,40.4855,19.052000000000003,3.8104000000000005
Belarus,29.803999999999995,25.333399999999994,11.921599999999998,2.3843199999999998
Belgium,47.846,40.66909999999999,19.1384,3.82768
Belize,35.03,29.7755,14.012,2.8024
Bhutan,12.830000000000002,10.905500000000002,5.1320000000000014,1.0264000000000002
Bolivia (Plurinational State of),19.628,16.683799999999998,7.8512,1.57024
Bosnia and Herzegovina,22.602,19.2117,9.0408,1.80816
Botswana,22.806,19.3851,9.1224,1.82448
Brazil,35.54,47.979,19.547,3.5540000000000003
Bulgaria,27.782,23.6147,11.1128,2.22256
Burkina Faso,5.586,4.7481,2.2344000000000004,0.44688000000000005
Cabo Verde,16.462,13.9927,6.5848,1.31696
Cambodia,7.140000000000001,6.069,2.8560000000000003,0.5712
Cameroon,11.174,9.4979,4.4696,0.8939199999999999
Canada,36.332,19.9826,5.4498,1.08996
Chile,40.398,34.338300000000004,16.159200000000002,3.2318400000000005
"China, Hong Kong SAR",22.858,19.4293,9.1432,1.82864
"China, Macao SAR",15.713999999999999,13.356899999999998,6.2856,1.25712
"China, Taiwan Province of",25.736,21.8756,10.294400000000001,2.0588800000000003
"China, mainland",6.586,3.6223000000000005,0.9879,0.19758
Colombia,30.883999999999997,41.6934,16.9862,3.0884
Comoros,13.334,11.3339,5.333600000000001,1.06672
Congo,11.786,10.018099999999999,4.7144,0.9428799999999999
Costa Rica,43.468,36.9478,17.387200000000004,3.4774400000000005
Croatia,31.772000000000002,27.0062,12.708800000000002,2.54176
Cuba,46.96,63.39600000000001,25.828000000000003,4.696000000000001
Cyprus,17.178,14.6013,6.871200000000001,1.3742400000000001
Czechia,31.189999999999998,26.511499999999998,12.475999999999999,2.4952
Côte d'Ivoire,10.112,8.5952,4.0448,0.80896
Democratic Republic of the Congo,2.962,2.5177,1.1848,0.23696000000000003
Denmark,39.754000000000005,33.7909,15.901600000000002,3.1803200000000005
Djibouti,34.756,29.5426,13.9024,2.7804800000000003
Dominican Republic,38.891999999999996,33.05819999999999,15.556799999999999,3.11136
Ecuador,20.85,17.7225,8.340000000000002,1.6680000000000001
Egypt,22.657999999999998,19.259299999999996,9.0632,1.8126399999999998
El Salvador,31.360000000000003,26.656000000000002,12.544000000000002,2.5088000000000004
Estonia,20.39,17.3315,8.156,1.6312
Eswatini,22.672,19.2712,9.068800000000001,1.81376
Ethiopia,7.74,6.579,3.096,0.6192000000000001
Fiji,29.198,24.8183,11.679200000000002,2.33584
Finland,30.101999999999997,25.586699999999997,12.040799999999999,2.4081599999999996
France,33.784000000000006,18.581200000000006,5.0676000000000005,1.0135200000000002
French Polynesia,22.46,19.091,8.984,1.7968000000000002
Gabon,16.074,13.6629,6.429600000000001,1.2859200000000002
Gambia,47.064,40.0044,18.8256,3.76512
Georgia,38.238,32.5023,15.295200000000001,3.05904
Germany,35.465999999999994,19.5063,5.319899999999999,1.0639799999999997
Ghana,12.092,10.2782,4.8368,0.9673600000000001
Greece,29.919999999999998,25.432,11.968,2.3935999999999997
Grenada,30.669999999999998,26.069499999999998,12.268,2.4536
Guatemala,49.083999999999996,66.2634,26.9962,4.9084
Guinea,16.868000000000002,14.337800000000001,6.747200000000001,1.3494400000000002
Guinea-Bissau,2.7520000000000002,2.3392,1.1008000000000002,0.22016000000000002
Guyana,27.119999999999997,23.051999999999996,10.847999999999999,2.1696
Haiti,21.412,18.2002,8.5648,1.71296
Honduras,34.836,29.610599999999998,13.9344,2.78688
Hungary,29.386000000000003,24.9781,11.754400000000002,2.35088
Iceland,26.362000000000002,22.407700000000002,10.544800000000002,2.10896
India,18.009999999999998,24.313499999999998,9.9055,1.801
Indonesia,25.7,34.695,14.135000000000002,2.5700000000000003
Iran (Islamic Republic of),27.444,23.327399999999997,10.9776,2.19552
Iraq,22.32,18.972,8.928,1.7856
Ireland,31.060000000000002,26.401,12.424000000000001,2.4848000000000003
Israel,33.739999999999995,28.678999999999995,13.495999999999999,2.6992
Italy,33.124,28.1554,13.249600000000001,2.6499200000000003
Jamaica,41.004,34.8534,16.4016,3.2803199999999997
Jordan,32.318,27.470299999999998,12.9272,2.5854399999999997
Kazakhstan,26.814,22.7919,10.7256,2.14512
Kenya,20.548000000000002,17.4658,8.2192,1.6438400000000002
Kiribati,41.194,35.014900000000004,16.477600000000002,3.2955200000000002
Kuwait,27.601999999999997,23.461699999999997,11.040799999999999,2.20816
